Habit,Date,Status,Comment
6000xp Data camp,2021-12-28,success,
6000xp Data camp,2021-12-29,fail,
6000xp Data camp,2021-12-30,fail,
6000xp Data camp,2021-12-31,fail,
6000xp Data camp,2022-01-01,success,
Duo,2021-12-21,success,
6000xp Data camp,2022-01-02,success,
6000xp Data camp,2022-01-03,success,
3 tiktoks,2022-02-19,fail,
6000xp Data camp,2022-01-04,success,
Duo,2021-12-22,success,
6000xp Data camp,2022-01-05,success,
6000xp Data camp,2022-01-06,success,
6000xp Data camp,2022-01-07,fail,
6000xp Data camp,2022-01-08,fail,
6000xp Data camp,2022-01-09,success,
6000xp Data camp,2022-01-10,success,
6000xp Data camp,2022-01-11,fail,
6000xp Data camp,2022-01-12,fail,
3 tiktoks,2022-03-14,fail,
Duo,2021-12-24,success,
Duo,2021-12-25,fail,
3 tiktoks,2022-03-15,fail,
6000xp Data camp,2022-01-13,fail,
3 tiktoks,2022-03-17,fail,
6000xp Data camp,2022-01-14,fail,
Duo,2021-12-23,success,
3 tiktoks,2022-03-18,fail,
Duo,2021-12-26,success,
Duo,2021-12-28,success,
3 tiktoks,2022-02-28,fail,
3 tiktoks,2022-03-06,fail,
3 tiktoks,2022-03-07,success,
3 tiktoks,2022-03-08,fail,
3 tiktoks,2022-03-09,success,
3 tiktoks,2022-03-10,fail,
3 tiktoks,2022-03-11,fail,
Duo,2021-12-27,success,
Duo,2021-12-29,success,
3 tiktoks,2022-03-12,fail,
3 tiktoks,2022-03-13,fail,
Duo,2021-12-30,success,
3 tiktoks,2022-03-04,fail,
Duo,2021-12-31,success,
Duo,2022-01-01,success,
Duo,2022-01-02,success,
1000xp DataCamp,2022-06-07,fail,
Duo,2022-01-03,fail,
Duo,2022-01-05,success,
3 tiktoks,2022-03-01,fail,
25min DataCamp,2022-05-01,fail,
3 tiktoks,2022-03-02,fail,
Duo,2022-01-04,success,
Duo,2022-01-06,success,
3 tiktoks,2022-03-03,success,
3 tiktoks,2022-03-05,fail,
Duo,2022-01-07,fail,
Duo,2022-01-08,success,
Duo,2022-01-09,fail,
Duo,2022-01-10,success,
Duo,2022-01-11,fail,
Duo,2022-01-12,fail,
Duo,2022-01-13,fail,
Duo,2022-01-14,fail,
3 tiktoks,2022-02-27,fail,
25min DataCamp,2022-04-30,fail,
Duo,2022-01-15,fail,
3 tiktoks,2022-02-25,fail,
25min DataCamp,2022-05-05,fail,
Duo,2022-01-16,fail,
3 tiktoks,2022-02-26,fail,
Duo,2022-01-17,success,
Duo,2022-01-18,success,
Duo,2022-01-19,fail,
Duo,2022-01-20,fail,
25min DataCamp,2022-05-06,fail,
1000xp DataCamp,2022-06-08,fail,
Duo,2022-01-21,fail,
Duo,2022-01-22,success,
Duo,2022-01-23,success,
Duo,2022-01-24,success,
1000xp DataCamp,2022-06-06,fail,
3 tiktoks,2022-02-15,fail,
3 tiktoks,2022-02-16,fail,
1000xp DataCamp,2022-06-05,success,
Stretch,2021-07-01,fail,
Duo,2022-01-25,success,
1000xp DataCamp,2022-06-04,fail,
Duo,2022-01-26,success,
Duo,2022-01-27,success,
Duo,2022-01-28,success,
Duo,2022-01-29,success,
Duo,2022-01-30,success,
Duo,2022-01-31,success,
Duo,2022-02-01,success,
Duo,2022-02-02,success,
Duo,2022-02-03,fail,
Duo,2022-02-04,fail,
Duo,2022-02-05,success,
Duo,2022-02-06,success,
Duo,2022-02-07,success,
Duo,2022-02-08,success,
1000xp DataCamp,2022-06-03,fail,
Duo,2022-02-09,success,
Duo,2022-02-10,success,
Duo,2022-02-11,fail,
Duo,2022-02-12,success,
Duo,2022-02-13,success,
Duo,2022-02-14,success,
3 tiktoks,2022-02-17,fail,
3 tiktoks,2022-02-24,fail,
Duo,2022-02-15,success,
25min DataCamp,2022-05-04,fail,
3 tiktoks,2022-02-18,fail,
Duo,2022-02-16,success,
Duo,2022-02-17,success,
Duo,2022-02-18,success,
3 tiktoks,2022-02-22,fail,
Duo,2022-02-19,success,
Duo,2022-02-20,success,
Duo,2022-02-21,success,
Duo,2022-02-22,success,
3 tiktoks,2022-02-23,fail,
Duo,2022-02-23,success,
Duo,2022-02-24,success,
Duo,2022-02-25,fail,
Duo,2022-02-26,fail,
Duo,2022-02-27,success,
Duo,2022-02-28,success,
Duo,2022-03-01,success,
1000xp DataCamp,2022-06-02,fail,
Duo,2022-03-02,success,
Duo,2022-03-03,success,
Duo,2022-03-04,fail,
Duo,2022-03-05,success,
Duo,2022-03-06,success,
Duo,2022-03-07,success,
Duo,2022-03-08,success,
Duo,2022-03-09,success,
Duo,2022-03-10,success,
3 tiktoks,2022-03-16,fail,
Duo,2022-03-11,fail,
Duo,2022-03-15,fail,
Duo,2022-03-17,fail,
Duo,2022-03-18,fail,
1000xp DataCamp,2022-04-18,fail,
1000xp DataCamp,2022-04-20,fail,
Duo,2022-03-19,fail,
Duo,2022-03-20,fail,
Duo,2022-03-21,fail,
Duo,2022-03-22,fail,
Duo,2022-03-23,fail,
Duo,2022-03-24,fail,
Duo,2022-03-25,fail,
Duo,2022-03-26,fail,
Duo,2022-03-27,success,
Duo,2022-03-28,success,
Duo,2022-03-29,success,
Duo,2022-03-30,success,
Duo,2022-03-31,success,
Duo,2022-04-01,success,
Duo,2022-04-02,success,
Duo,2022-04-03,success,
Duo,2022-04-04,success,
Duo,2022-04-05,success,
Duo,2022-04-06,success,
Duo,2022-04-07,success,
1000xp DataCamp,2022-05-29,fail,
Duo,2022-04-08,success,
Duo,2022-04-09,fail,
Duo,2022-04-10,success,
Duo,2022-04-11,success,
Duo,2022-04-12,success,
Duo,2022-04-13,fail,
Duo,2022-04-14,success,
Duo,2022-04-15,fail,
Duo,2022-04-16,success,
Duo,2022-04-17,success,
Duo,2022-04-18,fail,
Duo,2022-04-19,success,
Duo,2022-04-20,success,
1000xp DataCamp,2022-04-21,fail,
1000xp DataCamp,2022-05-28,fail,
Duo,2022-04-21,success,
1000xp DataCamp,2022-05-30,fail,
Duo,2022-03-12,fail,
Duo,2022-03-13,fail,
Duo,2022-03-14,success,
1000xp DataCamp,2022-05-31,fail,
1000xp DataCamp,2022-06-01,fail,
Duo,2022-03-16,fail,
Sleep,2022-04-19,fail,
Sleep,2022-04-20,success,
15 minutes of NOTHING,2022-06-26,fail,
3 tiktoks,2022-04-22,fail,
1000xp DataCamp,2022-04-23,fail,
3 tiktoks,2022-04-23,success,
1000xp DataCamp,2022-04-24,fail,
1000xp DataCamp,2022-04-25,fail,
1000xp DataCamp,2022-04-26,fail,
1000xp DataCamp,2022-04-27,fail,
25min DataCamp,2022-05-03,fail,
3 tiktoks,2022-04-24,success,
3 tiktoks,2022-04-26,success,
1000xp DataCamp,2022-05-07,fail,
3 tiktoks,2022-04-25,success,
1000xp DataCamp,2022-05-09,fail,
1000xp DataCamp,2022-05-10,fail,
1000xp DataCamp,2022-05-11,fail,
25min DataCamp,2022-05-08,fail,
1000xp DataCamp,2022-05-26,fail,
3 tiktoks,2022-04-27,fail,
Duo,2022-04-26,success,
1000xp DataCamp,2022-04-28,fail,
1000xp DataCamp,2022-04-29,fail,
1000xp DataCamp,2022-05-05,fail,
1000xp DataCamp,2022-05-06,fail,
Duo,2022-04-22,success,
3 tiktoks,2022-04-29,fail,
1000xp DataCamp,2022-04-30,fail,
1000xp DataCamp,2022-05-01,fail,
1000xp DataCamp,2022-05-02,fail,
1000xp DataCamp,2022-05-03,fail,
1000xp DataCamp,2022-05-04,fail,
Duo,2022-04-23,fail,
Duo,2022-04-24,success,
Duo,2022-04-25,success,
Duo,2022-04-27,success,
3 tiktoks,2022-04-28,success,
3 tiktoks,2022-04-30,fail,
Duo,2022-04-28,success,
25min DataCamp,2022-05-07,fail,
Duo,2022-04-29,success,
Duo,2022-04-30,fail,
25min DataCamp,2022-05-09,fail,
Duo,2022-05-01,fail,
3 tiktoks,2022-05-02,success,
Duo,2022-05-03,success,
1000xp DataCamp,2022-05-08,fail,
Duo,2022-05-04,fail,
Duo,2022-05-05,fail,
Duo,2022-05-06,success,
Duo,2022-05-07,fail,
Duo,2022-05-08,fail,
Sleep,2022-03-05,success,
15 minutes of NOTHING,2022-05-23,fail,
Sleep,2022-02-27,success,
3 tiktoks,2022-05-01,success,
3 tiktoks,2022-05-03,success,
3 tiktoks,2022-05-04,success,
3 tiktoks,2022-05-05,success,
3 tiktoks,2022-05-06,fail,
3 tiktoks,2022-05-08,fail,
Read,2022-04-22,success,
Read,2022-04-23,success,
3 tiktoks,2022-05-07,fail,
3 tiktoks,2022-05-09,success,
Read,2022-04-24,success,
Sleep,2022-02-28,fail,
Read,2022-04-25,success,
Read,2022-04-26,success,
Read,2022-04-27,success,
Read,2022-04-28,fail,
Read,2022-04-29,success,
Read,2022-04-30,fail,
Duo,2022-05-02,fail,
Read,2022-05-01,success,
Sleep,2022-03-01,success,
15 minutes of NOTHING,2022-06-25,fail,
Sleep,2022-03-02,success,
Sleep,2022-03-03,fail,
Sleep,2022-04-22,success,
Sleep,2022-04-23,success,
Sleep,2022-04-24,success,
Sleep,2022-04-25,fail,
Sleep,2022-04-26,success,
15 minutes of NOTHING,2022-05-24,fail,
Sleep,2022-04-27,success,
Sleep,2022-04-28,success,
Sleep,2022-04-29,success,
Sleep,2022-04-30,success,
Sleep,2022-05-01,success,
Read,2022-05-02,success,
15 minutes of NOTHING,2022-06-28,fail,
Read,2022-05-03,success,
Read,2022-05-04,fail,
Read,2022-05-05,fail,
Read,2022-05-06,fail,
Sleep,2022-03-14,success,
Read,2022-05-07,success,
Sleep,2022-05-02,fail,
Sleep,2022-05-03,success,
Sleep,2022-05-04,success,
15 minutes of NOTHING,2022-06-27,fail,
Sleep,2022-05-05,fail,
Sleep,2022-05-06,success,
Sleep,2022-05-07,success,
Read,2022-05-08,success,
Sleep,2022-05-08,success,
Duo,2022-05-09,success,
1000xp DataCamp,2022-05-13,fail,
Lift,2022-02-19,success,
1000xp DataCamp,2022-05-14,fail,
25min DataCamp,2022-05-12,fail,
1000xp DataCamp,2022-05-18,fail,
25min DataCamp,2022-05-15,fail,
25min DataCamp,2022-05-16,fail,
25min DataCamp,2022-05-19,fail,
Lift,2022-03-27,success,
25min DataCamp,2022-05-20,fail,
Lift,2022-02-17,success,
25min DataCamp,2022-05-21,fail,
25min DataCamp,2022-05-22,success,
25min DataCamp,2022-05-23,fail,
25min DataCamp,2022-05-24,fail,
Stretch,2021-12-21,fail,
Stretch,2021-12-22,fail,
25min DataCamp,2022-05-25,success,
Duo,2022-06-13,fail,
Duo,2022-06-14,fail,
Lift,2022-02-18,success,
Lift,2022-02-20,success,
3 tiktoks,2022-06-16,success,
Stretch,2021-12-23,success,
25min DataCamp,2022-05-13,fail,
Stretch,2021-12-24,success,
25min DataCamp,2022-05-18,fail,
3 tiktoks,2022-06-13,success,
Stretch,2021-12-26,success,
Stretch,2021-12-27,success,
Stretch,2021-12-30,success,
Stretch,2021-12-31,success,
Lift,2022-02-21,success,
3 tiktoks,2022-06-14,success,
Lift,2022-02-22,success,
Lift,2022-02-23,skip,
Stretch,2021-12-25,fail,
Stretch,2021-12-28,success,
Stretch,2021-12-29,success,
3 tiktoks,2022-06-15,fail,
Stretch,2022-01-01,success,
Stretch,2022-01-02,success,
Duo,2022-05-20,fail,
Stretch,2022-01-03,success,
Lift,2022-02-24,fail,
25min DataCamp,2022-05-14,fail,
Lift,2022-02-26,fail,
Stretch,2022-01-04,fail,
Stretch,2022-01-06,success,
Stretch,2022-01-08,success,
3 tiktoks,2022-06-10,success,
3 tiktoks,2022-06-11,fail,
Stretch,2022-01-05,success,
Lift,2022-02-25,fail,
Stretch,2022-01-07,fail,
3 tiktoks,2022-06-12,success,
Stretch,2022-01-09,fail,
Stretch,2022-01-11,fail,
Stretch,2022-01-12,fail,
3 tiktoks,2022-06-04,success,
Duo,2022-06-04,fail,
Lift,2022-03-03,skip,
3 tiktoks,2022-06-05,success,
Stretch,2022-01-13,fail,
Stretch,2022-01-15,fail,
Stretch,2022-01-16,fail,
Stretch,2022-01-18,fail,
Stretch,2022-01-20,fail,
3 tiktoks,2022-06-06,success,
Stretch,2022-01-10,fail,
Stretch,2022-01-14,fail,
Stretch,2022-01-17,fail,
Duo,2022-06-03,fail,
3 tiktoks,2022-06-08,fail,
Stretch,2022-01-19,fail,
Stretch,2022-01-21,fail,
Stretch,2022-01-22,fail,
3 tiktoks,2022-06-07,success,
Stretch,2022-01-23,success,
Stretch,2022-01-24,fail,
Stretch,2022-01-25,success,
Stretch,2022-01-28,fail,
Stretch,2022-01-29,fail,
Duo,2022-06-05,fail,
Stretch,2022-01-26,fail,
Stretch,2022-01-27,success,
Duo,2022-06-06,fail,
Stretch,2022-01-30,success,
Lift,2022-03-30,skip,
Stretch,2022-01-31,success,
Stretch,2022-02-01,success,
Stretch,2022-02-02,success,
Stretch,2022-02-03,fail,
Stretch,2022-02-04,fail,
Stretch,2022-02-05,success,
Stretch,2022-02-06,fail,
Stretch,2022-02-07,success,
Stretch,2022-02-09,success,
Lift,2022-02-27,fail,
Lift,2022-02-28,fail,
Lift,2022-03-02,success,
Stretch,2022-02-10,success,
Stretch,2022-02-11,fail,
Stretch,2022-02-12,success,
Stretch,2022-02-13,success,
Stretch,2022-02-14,success,
Stretch,2022-02-15,fail,
Lift,2022-03-01,success,
Stretch,2022-02-16,fail,
Stretch,2022-02-17,success,
Stretch,2022-02-18,fail,
Stretch,2022-02-19,success,
Stretch,2022-02-20,success,
Stretch,2022-02-21,success,
Stretch,2022-02-22,success,
Stretch,2022-02-23,success,
Stretch,2022-02-24,fail,
Stretch,2022-02-25,fail,
Stretch,2022-02-26,fail,
Duo,2022-06-07,fail,
1000xp DataCamp,2022-07-09,fail,
Lift,2022-03-18,fail,
Stretch,2022-02-08,success,
Stretch,2022-03-01,success,
Lift,2022-03-04,success,
Lift,2022-03-05,fail,
Stretch,2022-03-02,fail,
Duo,2022-06-09,fail,
Stretch,2022-03-03,success,
Stretch,2022-03-04,fail,
Stretch,2022-03-05,fail,
Lift,2022-03-06,fail,
Lift,2022-03-07,success,
Lift,2022-03-08,fail,
Stretch,2022-02-28,success,
Stretch,2022-03-06,success,
Lift,2022-03-09,success,
3 tiktoks,2022-06-09,success,
Stretch,2022-03-07,fail,
Stretch,2022-03-08,success,
Lift,2022-03-10,skip,
Lift,2022-03-11,fail,
1000xp DataCamp,2022-07-10,fail,
Stretch,2022-03-09,success,
Lift,2022-03-12,fail,
Lift,2022-03-13,fail,
Lift,2022-03-14,success,
Lift,2022-03-15,success,
Stretch,2022-03-10,fail,
Stretch,2022-03-11,fail,
Stretch,2022-03-12,fail,
Stretch,2022-03-13,fail,
Stretch,2022-03-14,success,
Lift,2022-03-16,fail,
Stretch,2022-03-15,fail,
Stretch,2022-03-16,fail,
Lift,2022-03-17,fail,
Stretch,2022-02-27,success,
Lift,2022-03-19,fail,
Lift,2022-03-20,fail,
Lift,2022-03-21,fail,
Lift,2022-03-22,fail,
Lift,2022-03-23,success,
Lift,2022-03-24,skip,
Duo,2022-06-10,fail,
Lift,2022-03-25,fail,
Stretch,2022-03-17,fail,
Stretch,2022-03-18,fail,
Stretch,2022-03-19,fail,
Duo,2022-06-11,fail,
Stretch,2022-03-20,fail,
Stretch,2022-03-21,fail,
Stretch,2022-03-22,fail,
Stretch,2022-03-23,fail,
Stretch,2022-03-24,fail,
Stretch,2022-03-25,fail,
Duo,2022-06-08,fail,
Lift,2022-03-26,success,
Stretch,2022-03-26,fail,
Duo,2022-06-12,fail,
Lift,2022-03-29,success,
Stretch,2022-03-27,success,
Lift,2022-03-28,success,
Stretch,2022-03-28,success,
Stretch,2022-03-29,success,
Stretch,2022-03-30,fail,
Lift,2022-03-31,success,
Stretch,2022-04-29,fail,
Stretch,2022-04-30,fail,
Stretch,2022-05-01,success,
Stretch,2022-05-02,success,
Stretch,2022-05-03,success,
Stretch,2022-05-04,fail,
Stretch,2022-05-05,fail,
Stretch,2022-05-06,fail,
1000xp DataCamp,2022-05-17,fail,
1000xp DataCamp,2022-07-08,fail,
Stretch,2022-05-07,fail,
1000xp DataCamp,2022-05-12,fail,
1000xp DataCamp,2022-05-15,fail,
Stretch,2022-05-09,success,
25min DataCamp,2022-05-10,fail,
Duo,2022-05-15,fail,
1000xp DataCamp,2022-05-16,fail,
1000xp DataCamp,2022-05-19,fail,
1000xp DataCamp,2022-07-04,fail,
1000xp DataCamp,2022-07-06,fail,
Stretch,2022-05-08,success,
25min DataCamp,2022-05-11,fail,
3 tiktoks,2022-05-13,success,
3 tiktoks,2022-05-14,success,
1000xp DataCamp,2022-07-07,success,
Stretch,2022-05-10,fail,
1000xp DataCamp,2022-06-30,fail,
Stretch,2022-05-11,success,
Duo,2022-05-17,fail,
1000xp DataCamp,2022-05-20,fail,
1000xp DataCamp,2022-05-21,fail,
1000xp DataCamp,2022-05-22,success,
1000xp DataCamp,2022-05-23,fail,
1000xp DataCamp,2022-05-24,fail,
1000xp DataCamp,2022-05-25,success,
25min DataCamp,2022-05-26,fail,
Duo,2022-05-19,fail,
1000xp DataCamp,2022-07-02,fail,
1000xp DataCamp,2022-07-03,fail,
25min DataCamp,2022-05-28,fail,
1000xp DataCamp,2022-07-05,success,
Duo,2022-05-21,fail,
25min DataCamp,2022-05-27,fail,
1000xp DataCamp,2022-07-01,fail,
Duo,2022-05-22,fail,
Duo,2022-05-23,fail,
Duo,2022-05-24,fail,
Duo,2022-05-26,success,
Duo,2022-05-28,fail,
Stretch,2022-05-26,fail,
Stretch,2022-05-27,success,
Stretch,2022-05-28,fail,
25min DataCamp,2022-05-29,fail,
Lift,2022-04-01,fail,
Lift,2022-04-02,success,
Lift,2022-04-03,success,
Lift,2022-04-04,success,
Lift,2022-04-05,success,
Lift,2022-04-07,success,
Lift,2022-04-11,success,
1000xp DataCamp,2022-06-25,fail,
1000xp DataCamp,2022-06-26,fail,
3 tiktoks,2022-05-18,success,
25min DataCamp,2022-05-30,fail,
1000xp DataCamp,2022-06-27,fail,
1000xp DataCamp,2022-06-28,fail,
Duo,2022-05-14,success,
Duo,2022-05-18,success,
Lift,2022-04-06,success,
1000xp DataCamp,2022-06-29,fail,
3 tiktoks,2022-05-10,fail,
Lift,2022-04-08,skip,
Lift,2022-04-09,fail,
Lift,2022-04-10,fail,
Lift,2022-04-12,fail,
25min DataCamp,2022-05-31,fail,
Lift,2022-04-13,fail,
1000xp DataCamp,2022-06-24,fail,
Lift,2022-04-14,success,
Lift,2022-04-15,success,
Lift,2022-04-16,fail,
Lift,2022-04-17,success,
Lift,2022-04-18,success,
Duo,2022-05-25,fail,
25min DataCamp,2022-06-01,fail,
25min DataCamp,2022-06-17,success,
25min DataCamp,2022-06-18,fail,
25min DataCamp,2022-06-19,fail,
25min DataCamp,2022-06-20,fail,
25min DataCamp,2022-06-21,fail,
25min DataCamp,2022-06-22,fail,
Duo,2022-05-10,fail,
25min DataCamp,2022-06-02,fail,
Duo,2022-05-13,fail,
25min DataCamp,2022-06-03,fail,
3 tiktoks,2022-06-02,fail,
25min DataCamp,2022-06-04,fail,
25min DataCamp,2022-06-05,fail,
25min DataCamp,2022-06-06,success,
25min DataCamp,2022-06-07,fail,
25min DataCamp,2022-06-08,fail,
3 tiktoks,2022-05-11,success,
25min DataCamp,2022-06-09,fail,
Duo,2022-05-11,success,
Duo,2022-05-12,success,
3 tiktoks,2022-06-03,fail,
25min DataCamp,2022-06-10,fail,
25min DataCamp,2022-06-11,fail,
25min DataCamp,2022-06-12,fail,
25min DataCamp,2022-06-13,fail,
25min DataCamp,2022-06-14,fail,
25min DataCamp,2022-06-15,fail,
25min DataCamp,2022-06-16,fail,
25min DataCamp,2022-06-23,fail,
Lift,2022-04-19,success,
Lift,2022-04-20,skip,
Lift,2022-04-21,success,
Lift,2022-04-22,success,
Lift,2022-04-24,success,
Lift,2022-04-26,success,
3 tiktoks,2022-05-27,success,
Lift,2022-04-28,fail,
3 tiktoks,2022-05-28,fail,
3 tiktoks,2022-05-29,success,
3 tiktoks,2022-05-30,fail,
3 tiktoks,2022-06-01,fail,
Stretch,2022-04-16,success,
Lift,2022-04-23,success,
Lift,2022-04-25,success,
3 tiktoks,2022-05-31,fail,
Duo,2022-06-02,success,
Lift,2022-04-27,skip,
Stretch,2022-04-28,success,
Lift,2022-04-29,success,
Lift,2022-04-30,fail,
Lift,2022-05-01,fail,
Stretch,2022-04-11,success,
Lift,2022-05-02,success,
Lift,2022-05-06,success,
Stretch,2022-04-05,success,
3 tiktoks,2022-05-16,success,
Duo,2022-05-29,fail,
Stretch,2022-04-01,success,
Lift,2022-05-03,success,
Lift,2022-05-04,success,
3 tiktoks,2022-05-17,success,
Lift,2022-05-07,success,
Lift,2022-05-08,fail,
Lift,2022-05-09,success,
Lift,2022-05-10,success,
Lift,2022-05-11,success,
Lift,2022-05-14,success,
Duo,2022-05-16,fail,
Lift,2022-05-18,success,
Lift,2022-05-27,success,
Lift,2022-05-28,fail,
Lift,2022-05-29,fail,
Lift,2022-05-30,fail,
Stretch,2022-04-08,success,
Lift,2022-05-31,success,
Duo,2022-06-15,fail,
Stretch,2022-03-31,success,
Stretch,2022-04-02,fail,
Lift,2022-06-01,success,
Lift,2022-06-02,fail,
Lift,2022-06-03,fail,
Stretch,2022-04-03,success,
Lift,2022-06-04,success,
Stretch,2022-04-04,success,
Stretch,2022-04-06,success,
Stretch,2022-04-07,success,
Stretch,2022-04-09,fail,
Stretch,2022-04-10,fail,
3 tiktoks,2022-05-22,fail,
3 tiktoks,2022-06-24,success,
Stretch,2022-04-12,fail,
3 tiktoks,2022-05-12,success,
3 tiktoks,2022-05-15,success,
3 tiktoks,2022-05-23,fail,
Lift,2022-05-05,skip,
Lift,2022-05-13,fail,
3 tiktoks,2022-05-24,fail,
3 tiktoks,2022-05-26,success,
Stretch,2022-04-13,fail,
Stretch,2022-04-14,success,
Stretch,2022-04-15,success,
Stretch,2022-04-17,success,
3 tiktoks,2022-05-19,fail,
3 tiktoks,2022-05-20,fail,
3 tiktoks,2022-06-25,success,
Duo,2022-05-27,success,
Stretch,2022-04-18,fail,
Stretch,2022-04-19,success,
3 tiktoks,2022-06-26,success,
3 tiktoks,2022-06-28,fail,
3 tiktoks,2022-06-29,fail,
Stretch,2022-04-20,fail,
Stretch,2022-04-21,success,
3 tiktoks,2022-06-30,success,
Stretch,2022-04-22,fail,
Stretch,2022-04-23,fail,
3 tiktoks,2022-05-21,fail,
3 tiktoks,2022-06-27,fail,
3 tiktoks,2022-07-01,success,
3 tiktoks,2022-07-02,success,
Stretch,2022-04-24,success,
Stretch,2022-04-26,success,
Stretch,2022-04-27,success,
Stretch,2022-05-13,fail,
Stretch,2022-05-14,fail,
Stretch,2022-05-17,fail,
3 tiktoks,2022-05-25,success,
3 tiktoks,2022-07-03,success,
Stretch,2022-05-18,fail,
Stretch,2022-05-21,fail,
Stretch,2022-05-24,success,
3 tiktoks,2022-07-04,success,
3 tiktoks,2022-07-05,success,
Stretch,2022-05-25,success,
Stretch,2022-05-29,fail,
3 tiktoks,2022-07-06,fail,
Duo,2022-06-01,fail,
Stretch,2022-05-30,fail,
Stretch,2022-06-01,success,
Stretch,2022-06-02,success,
Stretch,2022-06-03,fail,
3 tiktoks,2022-07-07,fail,
Duo,2022-05-30,fail,
Duo,2022-05-31,fail,
Stretch,2022-05-31,success,
Stretch,2022-06-04,fail,
3 tiktoks,2022-07-08,success,
3 tiktoks,2022-07-09,success,
Lift,2022-06-05,success,
Stretch,2022-04-25,success,
Stretch,2022-05-12,fail,
Stretch,2022-05-15,success,
Lift,2022-06-15,success,
Stretch,2022-05-16,success,
Stretch,2022-05-19,fail,
Stretch,2022-05-20,fail,
Stretch,2022-05-22,success,
Stretch,2022-05-23,fail,
Stretch,2022-06-05,success,
Lift,2022-06-06,success,
Stretch,2022-06-06,fail,
Lift,2022-06-07,success,
Stretch,2022-06-07,fail,
Lift,2022-06-08,skip,
Stretch,2022-06-08,fail,
Lift,2022-06-09,fail,
Lift,2022-06-10,success,
Lift,2022-06-11,fail,
Stretch,2022-06-09,fail,
Lift,2022-06-12,success,
Stretch,2022-06-10,fail,
Stretch,2022-06-11,fail,
Stretch,2022-06-12,fail,
Lift,2022-06-13,success,
Lift,2022-06-14,skip,
Stretch,2022-06-13,fail,
Stretch,2022-06-14,fail,
Stretch,2022-06-15,fail,
Duo,2022-06-16,fail,
Read,2022-05-10,fail,
25min DataCamp,2022-06-25,fail,
Duo,2022-06-17,fail,
Duo,2022-06-18,fail,
Duo,2022-06-19,fail,
25min DataCamp,2022-06-30,fail,
25min DataCamp,2022-07-01,fail,
Read,2022-05-11,fail,
Duo,2022-06-21,fail,
Duo,2022-06-24,fail,
Duo,2022-06-25,fail,
Duo,2022-06-26,fail,
Duo,2022-06-27,fail,
25min DataCamp,2022-06-28,fail,
25min DataCamp,2022-06-29,fail,
Duo,2022-06-28,fail,
Duo,2022-06-29,fail,
Duo,2022-06-30,fail,
Read,2022-05-12,success,
Read,2022-05-13,fail,
Lift,2022-06-19,fail,
Read,2022-05-14,fail,
Read,2022-05-18,fail,
Read,2022-06-03,fail,
Read,2022-06-04,success,
Read,2022-06-05,success,
Duo,2022-06-20,fail,
Read,2022-05-17,success,
Sleep,2022-05-17,success,
Read,2022-05-25,success,
Read,2022-06-07,success,
Read,2022-06-08,success,
Lift,2022-06-21,success,
Sleep,2022-05-25,success,
Sleep,2022-05-26,success,
Read,2022-06-06,success,
Read,2022-06-09,success,
Lift,2022-06-22,success,
Read,2022-06-10,fail,
Lift,2022-06-20,success,
Read,2022-06-11,fail,
Read,2022-06-12,fail,
Read,2022-06-13,fail,
Sleep,2022-05-24,success,
25min DataCamp,2022-06-26,fail,
3 tiktoks,2022-06-17,fail,
Read,2022-06-14,success,
Read,2022-06-15,success,
Sleep,2022-05-22,fail,
Read,2022-06-16,success,
Read,2022-06-17,fail,
Read,2022-06-18,fail,
Read,2022-06-19,fail,
Read,2022-06-20,success,
Sleep,2022-05-20,success,
Sleep,2022-05-21,success,
Read,2022-06-21,success,
Read,2022-06-22,success,
25min DataCamp,2022-06-27,fail,
Lift,2022-06-23,skip,
Read,2022-05-09,fail,
Read,2022-05-27,success,
Read,2022-05-28,success,
Read,2022-05-29,success,
Sleep,2022-05-23,success,
Read,2022-05-30,fail,
Read,2022-05-31,success,
Read,2022-06-01,success,
Read,2022-06-02,success,
Read,2022-06-23,success,
Sleep,2022-06-14,fail,
25min DataCamp,2022-06-24,fail,
3 tiktoks,2022-06-18,success,
3 tiktoks,2022-06-19,success,
3 tiktoks,2022-06-20,success,
Stretch,2022-06-20,fail,
3 tiktoks,2022-06-21,fail,
3 tiktoks,2022-06-22,success,
Duo,2022-06-22,fail,
3 tiktoks,2022-06-23,fail,
Stretch,2022-06-22,fail,
Duo,2022-06-23,fail,
Stretch,2022-06-23,fail,
Sleep,2022-06-25,success,
Sleep,2022-06-26,fail,
Sleep,2022-06-27,fail,
Sleep,2022-06-28,fail,
Sleep,2022-06-29,fail,
Sleep,2022-06-30,success,
Duo,2022-07-01,fail,
Lift,2022-02-14,success,
Lift,2022-02-15,success,
Lift,2022-02-16,skip,
Lift,2022-05-12,skip,
25min DataCamp,2022-07-09,fail,
Lift,2022-05-15,fail,
Lift,2022-05-16,success,
Lift,2022-05-17,success,
Lift,2022-05-21,fail,
Lift,2022-05-24,success,
Lift,2022-05-25,skip,
Lift,2022-05-26,success,
Lift,2022-06-16,success,
Lift,2022-06-17,fail,
Read,2022-05-15,success,
Lift,2022-05-19,skip,
Lift,2022-05-20,fail,
Lift,2022-05-22,success,
Read,2022-05-16,fail,
Read,2022-05-19,fail,
Sleep,2022-05-18,success,
Lift,2022-05-23,success,
Read,2022-05-23,fail,
Read,2022-05-24,success,
Read,2022-05-26,success,
